licence_plate,User Name,User Gmail,User Mobile Number
KA38AB2585,Rahul Sharma,pkheria7@gmail.com,+919674670829
KAO,Priya Verma,priya.verma@gmail.com,+919674670829
MH12EF3456,Ankit Mehra,ankit.mehra@gmail.com,9674670829
TN09GH7890,Sneha Reddy,sneha.reddy@gmail.com,9674670829
RJ14IJ2345,Arjun Singh,arjun.singh@gmail.com,9674670829
GJ01KL6789,Neha Joshi,neha.joshi@gmail.com,9674670829
UP16MN3456,Karan Patel,karan.patel@gmail.com,9674670829
WB20OP7890,Divya Kapoor,divya.kapoor@gmail.com,9674670829
AP29QR2345,Rohit Deshmukh,rohit.deshmukh@gmail.com,9674670829
HR26ST6789,Meena Iyer,meena.iyer@gmail.com,9674670829
